bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation,layer
1,#26,40,74.5,27.5,40,0.0,0
1,#22,36,178.5,47.5,36,1.0,0
1,#7,40,28.5,92.5,40,1.0,0
1,#33,36,103.5,78.5,36,0.0,0
1,#26,40,131.5,129.5,40,0.0,0
1,#7,40,28.5,167.5,40,1.0,0
1,#26,40,131.5,184.5,40,0.0,0
1,#22,36,178.5,47.5,72,1.0,1
1,#18,36,37.5,28.5,76,0.0,1
1,#7,40,112.5,28.5,80,0.0,1
1,#7,40,28.5,94.5,80,1.0,1
1,#29,36,124.5,129.5,76,0.0,1
1,#7,40,28.5,169.5,80,1.0,1
1,#26,40,131.5,184.5,80,0.0,1
1,#22,36,178.5,47.5,108,1.0,2
1,#7,40,37.5,28.5,116,0.0,2
1,#26,40,131.5,129.5,116,0.0,2
1,#7,40,112.5,28.5,120,0.0,2
1,#16,32,28.5,94.5,112,1.0,2
1,#7,40,28.5,169.5,120,1.0,2
1,#26,40,131.5,184.5,120,0.0,2
1,#9,46,184.5,45.5,154,1.0,3
1,#18,36,28.5,94.5,148,1.0,3
1,#18,36,37.5,28.5,152,0.0,3
1,#26,40,131.5,129.5,156,0.0,3
1,#7,40,112.5,28.5,160,0.0,3
1,#7,40,28.5,169.5,160,1.0,3
1,#26,40,131.5,184.5,160,0.0,3
1,#16,32,28.5,94.5,180,1.0,4
1,#7,40,37.5,28.5,192,0.0,4
1,#9,46,184.5,45.5,200,1.0,4
1,#26,40,131.5,129.5,196,0.0,4
1,#18,36,112.5,28.5,196,0.0,4
1,#7,40,28.5,169.5,200,1.0,4
1,#26,40,131.5,184.5,200,0.0,4
1,#7,40,28.5,94.5,220,1.0,5
1,#7,40,37.5,28.5,232,0.0,5
1,#18,36,112.5,28.5,232,0.0,5
1,#26,40,131.5,129.5,236,0.0,5
1,#22,36,178.5,47.5,236,1.0,5
1,#18,36,28.5,169.5,236,1.0,5
1,#26,40,131.5,184.5,240,0.0,5
2,#35,36,104.5,48.5,36,0.0,0
2,#9,46,45.5,131.5,46,0.0,0
2,#20,26,127.5,152.5,26,1.0,0
2,#35,36,104.5,48.5,72,0.0,1
2,#13,28,27.5,58.5,100,1.0,2
2,#26,40,143.5,27.5,112,0.0,2
2,#9,46,34.5,45.5,146,1.0,3
2,#33,36,23.5,46.5,182,1.0,4
