bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation,layer
1,#16,32,37.5,28.5,32,0.0,0
1,#16,32,112.5,28.5,32,0.0,0
1,#22,36,178.5,47.5,36,1.0,0
1,#29,36,67.5,84.5,36,0.0,0
1,#35,36,104.5,160.5,36,0.0,0
1,#18,36,37.5,28.5,68,0.0,1
1,#7,40,112.5,28.5,72,0.0,1
1,#22,36,178.5,47.5,72,1.0,1
1,#26,40,74.5,84.5,76,0.0,1
1,#35,36,104.5,160.5,72,0.0,1
1,#16,32,37.5,28.5,100,0.0,2
1,#18,36,112.5,28.5,108,0.0,2
1,#22,36,178.5,47.5,108,1.0,2
1,#13,28,176.5,153.5,100,1.0,2
1,#33,36,46.5,135.5,108,0.0,2
1,#29,36,67.5,186.5,108,0.0,2
1,#26,40,74.5,84.5,116,0.0,2
1,#16,32,37.5,28.5,132,0.0,3
1,#13,28,176.5,153.5,128,1.0,3
1,#7,40,112.5,28.5,148,0.0,3
1,#22,36,178.5,47.5,144,1.0,3
1,#33,36,46.5,135.5,144,0.0,3
1,#29,36,67.5,186.5,144,0.0,3
1,#26,40,74.5,84.5,156,0.0,3
1,#13,28,176.5,153.5,156,1.0,4
1,#7,40,37.5,28.5,172,0.0,4
1,#9,46,184.5,45.5,190,1.0,4
1,#33,36,46.5,135.5,180,0.0,4
1,#26,40,74.5,186.5,184,0.0,4
1,#7,40,112.5,28.5,188,0.0,4
1,#26,40,74.5,84.5,196,0.0,4
1,#9,46,183.5,140.5,202,1.0,5
1,#18,36,37.5,28.5,208,0.0,5
1,#33,36,46.5,135.5,216,0.0,5
1,#13,28,58.5,186.5,212,0.0,5
1,#7,40,112.5,28.5,228,0.0,5
1,#9,46,184.5,45.5,236,1.0,5
1,#29,36,67.5,84.5,232,0.0,5
1,#22,36,177.5,142.5,238,1.0,6
1,#16,32,37.5,28.5,240,0.0,6
1,#13,28,58.5,186.5,240,0.0,6
2,#20,26,36.5,55.5,26,1.0,0
2,#35,36,121.5,104.5,36,1.0,0
2,#33,36,23.5,157.5,36,1.0,0
2,#20,26,36.5,55.5,52,1.0,1
2,#35,36,121.5,104.5,72,1.0,1
2,#18,36,28.5,148.5,72,1.0,1
2,#20,26,36.5,55.5,78,1.0,2
2,#35,36,121.5,104.5,108,1.0,2
2,#18,36,28.5,148.5,108,1.0,2
2,#20,26,36.5,55.5,104,1.0,3
2,#29,36,100.5,67.5,144,1.0,3
2,#20,26,36.5,55.5,130,1.0,4
2,#9,46,34.5,45.5,176,1.0,5
2,#9,46,34.5,45.5,222,1.0,6
