bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
1,#35,102,46,36,48.5,104.5,36,1,0,2.5,2.5,0,92,204,36
1,#9,43,32,46,142.5,34.5,46,0,0,99.5,2.5,0,86,64,46
1,#20,53,34,26,152.5,105.5,26,0,0,99.5,71.5,0,106,68,26
1,#20,53,34,26,152.5,178.5,26,0,0,99.5,144.5,0,106,68,26
1,#13,56,25,28,155.5,96.5,54,0,1,99.5,71.5,26,112,50,28
1,#20,53,34,26,152.5,178.5,52,0,1,99.5,144.5,26,106,68,26
1,#35,102,46,36,48.5,104.5,72,1,1,2.5,2.5,36,92,204,36
1,#9,43,32,46,142.5,34.5,92,0,1,99.5,2.5,46,86,64,46
1,#22,45,26,36,157.5,170.5,88,0,2,112.5,144.5,52,90,52,36
1,#7,35,26,40,147.5,97.5,94,0,2,112.5,71.5,54,70,52,40
1,#16,35,26,32,37.5,28.5,104,0,2,2.5,2.5,72,70,52,32
1,#26,72,25,40,27.5,131.5,112,1,2,2.5,59.5,72,50,144,40
1,#26,72,25,40,82.5,143.5,112,1,2,57.5,71.5,72,50,144,40
1,#33,44,21,36,143.5,23.5,128,0,2,99.5,2.5,92,88,42,36
1,#22,45,26,36,157.5,170.5,124,0,3,112.5,144.5,88,90,52,36
1,#7,35,26,40,147.5,97.5,134,0,3,112.5,71.5,94,70,52,40
1,#18,35,26,36,37.5,28.5,140,0,3,2.5,2.5,104,70,52,36
1,#29,65,25,36,27.5,124.5,148,1,3,2.5,59.5,112,50,130,36
1,#26,72,25,40,82.5,143.5,152,1,3,57.5,71.5,112,50,144,40
1,#22,45,26,36,144.5,28.5,164,0,3,99.5,2.5,128,90,52,36
1,#9,43,32,46,155.5,176.5,170,0,4,112.5,144.5,124,86,64,46
1,#18,35,26,36,147.5,97.5,170,0,4,112.5,71.5,134,70,52,36
1,#16,35,26,32,37.5,28.5,172,0,4,2.5,2.5,140,70,52,32
1,#29,65,25,36,27.5,124.5,184,1,4,2.5,59.5,148,50,130,36
1,#13,56,25,28,82.5,127.5,180,1,4,57.5,71.5,152,50,112,28
1,#33,44,21,36,143.5,23.5,200,0,4,99.5,2.5,164,88,42,36
1,#7,35,26,40,147.5,97.5,210,0,5,112.5,71.5,170,70,52,40
1,#33,44,21,36,156.5,165.5,206,0,5,112.5,144.5,170,88,42,36
1,#16,35,26,32,37.5,28.5,204,0,5,2.5,2.5,172,70,52,32
1,#13,56,25,28,82.5,127.5,208,1,5,57.5,71.5,180,50,112,28
1,#29,65,25,36,27.5,124.5,220,1,5,2.5,59.5,184,50,130,36
1,#33,44,21,36,143.5,23.5,236,0,5,99.5,2.5,200,88,42,36
1,#18,35,26,36,37.5,28.5,240,0,6,2.5,2.5,204,70,52,36
