bin_name,box_id,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
3,#18,35.0,26.0,36.0,28.5,37.5,36.0,1.0,0.0,2.5,2.5,0.0,52,70,36.0
3,#22,45.0,26.0,36.0,85.5,47.5,36.0,1.0,0.0,59.5,2.5,0.0,52,90,36.0
1,#22,45.0,26.0,36.0,28.5,102.5,36.0,1.0,,2.5,57.5,0.0,52,90,36.0
2,#35,102.0,46.0,36.0,48.5,104.5,36.0,1.0,,2.5,2.5,0.0,92,204,36.0
3,#33,44.0,21.0,36.0,160.5,23.5,36.0,0.0,0.0,116.5,2.5,0.0,88,42,36.0
3,#33,44.0,21.0,36.0,160.5,70.5,36.0,0.0,0.0,116.5,49.5,0.0,88,42,36.0
3,#35,102.0,46.0,36.0,104.5,143.5,36.0,0.0,0.0,2.5,97.5,0.0,204,92,36.0
1,#18,35.0,26.0,36.0,187.5,169.5,36.0,1.0,,161.5,134.5,0.0,52,70,36.0
1,#16,35.0,26.0,32.0,172.5,28.5,32.0,0.0,,137.5,2.5,0.0,70,52,32.0
3,#7,35.0,26.0,40.0,28.5,37.5,76.0,1.0,1.0,2.5,2.5,36.0,52,70,40.0
1,#26,72.0,25.0,40.0,131.5,131.5,40.0,1.0,,106.5,59.5,0.0,50,144,40.0
1,#29,65.0,25.0,36.0,67.5,27.5,36.0,0.0,,2.5,2.5,0.0,130,50,36.0
2,#20,53.0,34.0,26.0,133.5,110.5,26.0,1.0,,99.5,57.5,0.0,68,106,26.0
3,#22,45.0,26.0,36.0,85.5,47.5,72.0,1.0,1.0,59.5,2.5,36.0,52,90,36.0
3,#33,44.0,21.0,36.0,160.5,23.5,72.0,0.0,1.0,116.5,2.5,36.0,88,42,36.0
2,#13,56.0,25.0,28.0,155.5,27.5,28.0,0.0,,99.5,2.5,0.0,112,50,28.0
1,#7,35.0,26.0,40.0,187.5,94.5,40.0,1.0,,161.5,59.5,0.0,52,70,40.0
1,#7,35.0,26.0,40.0,187.5,94.5,80.0,1.0,,161.5,59.5,40.0,52,70,40.0
1,#9,43.0,32.0,46.0,45.5,184.5,46.0,0.0,,2.5,152.5,0.0,86,64,46.0
1,#22,45.0,26.0,36.0,28.5,102.5,72.0,1.0,,2.5,57.5,36.0,52,90,36.0
1,#33,44.0,21.0,36.0,80.5,101.5,36.0,1.0,,59.5,57.5,0.0,42,88,36.0
3,#35,102.0,46.0,36.0,104.5,143.5,72.0,0.0,1.0,2.5,97.5,36.0,204,92,36.0
3,#9,43.0,32.0,46.0,91.5,45.5,118.0,1.0,2.0,59.5,2.5,72.0,64,86,46.0
3,#33,44.0,21.0,36.0,172.5,23.5,108.0,0.0,2.0,128.5,2.5,72.0,88,42,36.0
1,#29,65.0,25.0,36.0,67.5,27.5,72.0,0.0,,2.5,2.5,36.0,130,50,36.0
3,#26,72.0,25.0,40.0,155.5,142.5,112.0,1.0,2.0,130.5,70.5,72.0,50,144,40.0
3,#29,65.0,25.0,36.0,27.5,142.5,108.0,1.0,2.0,2.5,77.5,72.0,50,130,36.0
3,#20,53.0,34.0,26.0,91.5,150.5,98.0,1.0,2.0,57.5,97.5,72.0,68,106,26.0
1,#9,43.0,32.0,46.0,45.5,184.5,92.0,0.0,,2.5,152.5,46.0,86,64,46.0
1,#33,44.0,21.0,36.0,80.5,101.5,72.0,1.0,,59.5,57.5,36.0,42,88,36.0
1,#9,43.0,32.0,46.0,45.5,184.5,138.0,0.0,,2.5,152.5,92.0,86,64,46.0
1,#9,43.0,32.0,46.0,45.5,184.5,184.0,0.0,,2.5,152.5,138.0,86,64,46.0
error,#9,43.0,32.0,46.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,86,64,46.0
