bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
Bin 1,Box 1,0.0,0.0,0.0,57.0,75.0,32.0,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",29.0,38.0,32.0,#16A外箱,1.0
Bin 1,Box 2,57.0,0.0,0.0,97.0,209.0,36.0,"(1.0, 0.0, 0.0, 1.0)",106.0,105.0,36.0,#35外箱,1.0
Bin 1,Box 5,154.0,0.0,0.0,55.0,149.0,40.0,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",182.0,75.0,40.0,#26外箱,1.0
Bin 1,Box 8,0.0,75.0,0.0,55.0,135.0,36.0,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",28.0,143.0,36.0,#29外箱,1.0
Bin 1,Box 3,0.0,0.0,32.0,57.0,75.0,32.0,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",29.0,38.0,64.0,#16A外箱,1.0
Bin 1,Box 4,57.0,0.0,36.0,97.0,209.0,36.0,"(1.0, 0.0, 0.0, 1.0)",106.0,105.0,72.0,#35外箱,1.0
Bin 1,Box 10,0.0,75.0,36.0,57.0,75.0,36.0,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",29.0,113.0,72.0,#18A外箱,1.0
Bin 1,Box 7,154.0,0.0,40.0,55.0,149.0,40.0,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",182.0,75.0,80.0,#26外箱,1.0
Bin 1,Box 9,0.0,0.0,64.0,57.0,75.0,40.0,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",29.0,38.0,104.0,#7A外箱,1.0
Bin 1,Box 6,57.0,0.0,72.0,91.0,69.0,46.0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",103.0,35.0,118.0,#9外箱,0.0
Bin 1,Box 11,34.48722584842108,75.0,72.0,117.0,55.0,28.0,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",93.0,103.0,100.0,#13外箱,0.0
Bin 1,Box 16,34.48722584842108,130.0,72.0,111.0,73.0,26.0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",90.0,167.0,98.0,#20外箱,0.0
Bin 1,Box 13,154.0,0.0,80.0,55.0,149.0,40.0,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",182.0,75.0,120.0,#26外箱,1.0
Bin 1,Box 18,34.48722584842108,130.0,98.0,111.0,73.0,26.0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",90.0,167.0,124.0,#20外箱,0.0
Bin 1,Box 20,34.48722584842108,75.0,100.0,117.0,55.0,28.0,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",93.0,103.0,128.0,#13外箱,0.0
Bin 1,Box 12,0.0,0.0,104.0,57.0,75.0,40.0,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",29.0,38.0,144.0,#7A外箱,1.0
Bin 1,Box 14,57.0,0.0,118.0,91.0,69.0,46.0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",103.0,35.0,164.0,#9外箱,0.0
Bin 1,Box 19,154.0,0.0,120.0,55.0,135.0,36.0,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",182.0,68.0,156.0,#29外箱,1.0
Bin 1,Box 21,34.48722584842108,130.0,124.0,111.0,73.0,26.0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",90.0,167.0,150.0,#20外箱,0.0
Bin 1,Box 26,34.48722584842108,75.0,128.0,93.0,47.0,36.0,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",81.0,99.0,164.0,#33外箱,0.0
Bin 1,Box 15,0.0,0.0,144.0,57.0,75.0,36.0,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",29.0,38.0,180.0,#18A外箱,1.0
Bin 1,Box 24,34.48722584842108,130.0,150.0,91.0,69.0,46.0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",80.0,165.0,196.0,#9外箱,0.0
Bin 1,Box 23,154.0,0.0,156.0,55.0,135.0,36.0,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",182.0,68.0,192.0,#29外箱,1.0
Bin 1,Box 17,57.0,0.0,164.0,95.0,57.0,36.0,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",105.0,29.0,200.0,#22外箱,0.0
Bin 1,Box 27,34.48722584842108,75.0,164.0,93.0,47.0,36.0,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",81.0,99.0,200.0,#33外箱,0.0
Bin 1,Box 25,0.0,0.0,180.0,57.0,75.0,36.0,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",29.0,38.0,216.0,#18A外箱,1.0
Bin 1,Box 28,154.0,0.0,192.0,55.0,117.0,28.0,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",182.0,59.0,220.0,#13外箱,1.0
Bin 1,Box 30,34.48722584842108,130.0,196.0,95.0,57.0,36.0,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",82.0,159.0,232.0,#22外箱,0.0
Bin 1,Box 22,57.0,0.0,200.0,95.0,57.0,36.0,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",105.0,29.0,236.0,#22外箱,0.0
Bin 1,Box 29,34.48722584842108,75.0,200.0,93.0,47.0,36.0,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",81.0,99.0,236.0,#33外箱,0.0
Bin 2,Box 1,0.0,0.0,0.0,75.0,57.0,32.0,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",38.0,29.0,32.0,#16A外箱,0.0
