bin_name,matched_box_name,pos_x,pos_y,pos_z
Bin 1,#16A外箱,35.0,0,32.0
Bin 1,#35外箱,102.0,0,36.0
Bin 1,#26外箱,72.0,0,40.0
Bin 1,#29外箱,65.0,0,36.0
Bin 1,#16A外箱,35.0,0,32.0
Bin 1,#35外箱,102.0,0,36.0
Bin 1,#18A外箱,35.0,0,36.0
Bin 1,#26外箱,72.0,0,40.0
Bin 1,#7A外箱,35.0,0,40.0
Bin 1,#9外箱,43.0,0,46.0
Bin 1,#13外箱,56.0,0,28.0
Bin 1,#20外箱,53.0,0,26.0
Bin 1,#26外箱,72.0,0,40.0
Bin 1,#20外箱,53.0,0,26.0
Bin 1,#13外箱,56.0,0,28.0
Bin 1,#7A外箱,35.0,0,40.0
Bin 1,#9外箱,43.0,0,46.0
Bin 1,#29外箱,65.0,0,36.0
Bin 1,#20外箱,53.0,0,26.0
Bin 1,#33外箱,44.0,0,36.0
Bin 1,#18A外箱,35.0,0,36.0
Bin 1,#9外箱,43.0,0,46.0
Bin 1,#29外箱,65.0,0,36.0
Bin 1,#22外箱,45.0,0,36.0
Bin 1,#33外箱,44.0,0,36.0
Bin 1,#18A外箱,35.0,0,36.0
Bin 1,#13外箱,56.0,0,28.0
Bin 1,#22外箱,45.0,0,36.0
Bin 1,#22外箱,45.0,0,36.0
Bin 1,#33外箱,44.0,0,36.0
Bin 2,#16A外箱,35.0,0,32.0
