bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
Bin 1,#9外箱,46.0,46.0,35.0,46.0,0.0
Bin 1,#22外箱,36.0,139.0,29.0,36.0,0.0
Bin 1,#13外箱,28.0,178.0,116.0,28.0,1.0
Bin 1,#29外箱,36.0,28.0,137.0,36.0,1.0
Bin 1,#22外箱,36.0,103.0,98.0,36.0,0.0
Bin 1,#16A外箱,32.0,84.0,164.0,32.0,1.0
Bin 1,#16A外箱,32.0,179.0,95.0,60.0,1.0
Bin 1,#16A外箱,32.0,171.0,161.0,60.0,0.0
Bin 1,#18A外箱,36.0,86.0,164.0,68.0,1.0
Bin 1,#16A外箱,32.0,129.0,29.0,68.0,0.0
Bin 1,#26外箱,40.0,28.0,144.0,76.0,1.0
Bin 1,#18A外箱,36.0,95.0,98.0,72.0,0.0
Bin 1,#9外箱,46.0,46.0,35.0,92.0,0.0
Bin 1,#18A外箱,36.0,179.0,95.0,96.0,1.0
Bin 1,#7A外箱,40.0,129.0,29.0,108.0,0.0
Bin 1,#7A外箱,40.0,86.0,164.0,108.0,1.0
Bin 1,#18A外箱,36.0,95.0,98.0,108.0,0.0
Bin 1,#13外箱,28.0,28.0,134.0,104.0,1.0
Bin 1,#9外箱,46.0,46.0,35.0,138.0,0.0
Bin 1,#22外箱,36.0,29.0,123.0,140.0,1.0
Bin 1,#7A外箱,40.0,129.0,29.0,148.0,0.0
Bin 1,#16A外箱,32.0,29.0,38.0,170.0,1.0
Bin 1,#33外箱,36.0,24.0,122.0,176.0,1.0
Bin 1,#18A外箱,36.0,129.0,29.0,184.0,0.0
Bin 1,#7A外箱,40.0,29.0,38.0,210.0,1.0
Bin 1,#33外箱,36.0,24.0,122.0,212.0,1.0
Bin 1,#7A外箱,40.0,129.0,29.0,224.0,0.0
Bin 2,#35外箱,36.0,105.0,49.0,36.0,0.0
Bin 2,#35外箱,36.0,105.0,146.0,36.0,0.0
Bin 2,#35外箱,36.0,105.0,49.0,72.0,0.0
Bin 2,#35外箱,36.0,105.0,146.0,72.0,0.0
Bin 2,#35外箱,36.0,105.0,49.0,108.0,0.0
Bin 2,#22外箱,36.0,178.0,158.0,108.0,1.0
Bin 2,#26外箱,40.0,75.0,139.0,112.0,0.0
Bin 2,#33外箱,36.0,47.0,190.0,108.0,0.0
Bin 2,#20外箱,26.0,37.0,56.0,134.0,1.0
Bin 2,#29外箱,36.0,141.0,28.0,144.0,0.0
Bin 2,#29外箱,36.0,141.0,83.0,144.0,0.0
Bin 2,#9外箱,46.0,184.0,156.0,154.0,1.0
Bin 2,#33外箱,36.0,47.0,190.0,144.0,0.0
Bin 2,#26外箱,40.0,75.0,139.0,152.0,0.0
Bin 2,#20外箱,26.0,37.0,56.0,160.0,1.0
Bin 2,#29外箱,36.0,141.0,28.0,180.0,0.0
Bin 2,#29外箱,36.0,141.0,83.0,180.0,0.0
Bin 2,#33外箱,36.0,47.0,190.0,180.0,0.0
Bin 2,#26外箱,40.0,75.0,139.0,192.0,0.0
Bin 2,#22外箱,36.0,178.0,158.0,190.0,1.0
Bin 2,#20外箱,26.0,37.0,56.0,186.0,1.0
Bin 2,#13外箱,28.0,132.0,28.0,208.0,0.0
Bin 2,#13外箱,28.0,132.0,83.0,208.0,0.0
Bin 2,#20外箱,26.0,37.0,56.0,212.0,1.0
Bin 2,#9外箱,46.0,184.0,156.0,236.0,1.0
Bin 2,#26外箱,40.0,75.0,139.0,232.0,0.0
Bin 2,#13外箱,28.0,132.0,28.0,236.0,0.0
Bin 2,#20外箱,26.0,37.0,56.0,238.0,1.0
