bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,28.5,36,#22外箱,0.0
1,3,95,0,0,97,209,36,"(1.0, 0.0, 0.0, 1.0)",143.5,104.5,36,#35外箱,1.0
1,2,0,57,0,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,91.5,46,#9外箱,0.0
1,4,0,126,0,69,91,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",34.5,171.5,46,#9外箱,1.0
1,6,0,0,36,75,57,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,72,#18A外箱,0.0
1,5,95,0,36,97,209,36,"(1.0, 0.0, 0.0, 1.0)",143.5,104.5,72,#35外箱,1.0
1,7,0,57,46,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,85.5,82,#22外箱,0.0
1,12,0,126,46,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,172.5,82,#33外箱,1.0
1,9,0,0,72,75,57,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,112,#7A外箱,0.0
1,8,95,0,72,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",122.5,67.5,108,#29外箱,1.0
1,10,150,0,72,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",177.5,74.5,112,#26外箱,1.0
1,17,70,149,72,135,55,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",137.5,176.5,108,#29外箱,0.0
1,14,0,57,82,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,85.5,118,#22外箱,0.0
1,18,0,126,82,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,172.5,118,#33外箱,1.0
1,11,95,0,108,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",122.5,74.5,148,#26外箱,1.0
1,30,70,149,108,135,55,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",137.5,176.5,144,#29外箱,0.0
1,13,0,0,112,75,57,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,28.5,144,#16A外箱,0.0
1,22,150,0,112,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",177.5,74.5,152,#26外箱,1.0
1,20,0,57,118,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,85.5,154,#22外箱,0.0
1,19,0,126,118,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,172.5,154,#33外箱,1.0
1,15,0,0,144,75,57,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,180,#18A外箱,0.0
1,32,70,149,144,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",117.5,177.5,180,#22外箱,0.0
1,24,95,0,148,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",122.5,58.5,176,#13外箱,1.0
1,25,150,0,152,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",177.5,67.5,188,#29外箱,1.0
1,21,0,57,154,75,57,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,85.5,186,#16A外箱,0.0
1,26,0,126,154,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,163.5,190,#18A外箱,1.0
1,27,95,0,176,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",122.5,58.5,204,#13外箱,1.0
1,16,0,0,180,75,57,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,220,#7A外箱,0.0
1,33,70,149,180,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",115.5,183.5,226,#9外箱,0.0
1,23,0,57,186,75,57,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,85.5,218,#16A外箱,0.0
1,29,150,0,188,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",178.5,37.5,224,#18A外箱,1.0
1,34,161,75,188,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",189.5,112.5,228,#7A外箱,1.0
1,28,0,126,190,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",28.5,163.5,230,#7A外箱,1.0
1,31,95,0,204,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",122.5,58.5,232,#13外箱,1.0
2,1,0,0,0,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,36.5,26,#20外箱,0.0
2,2,0,0,26,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,36.5,52,#20外箱,0.0
