bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,47,93,36
1,2,47,0,0,57,75,40
1,3,0,93,0,95,57,36
1,4,104,0,0,97,209,36
1,5,104,0,36,97,209,36
1,6,104,0,72,55,135,36
1,7,0,150,0,95,57,36
1,8,47,0,40,57,75,36
1,9,0,93,36,91,69,46
1,10,47,0,76,57,75,40
1,11,0,93,82,91,69,46
1,12,0,162,36,95,57,36
1,13,47,0,116,57,75,36
1,14,159,0,72,55,135,36
1,15,0,162,72,75,57,40
1,16,47,0,152,57,75,36
1,17,104,0,108,55,135,36
1,18,0,93,128,95,57,36
1,19,95,135,72,111,73,26
1,20,159,0,108,55,149,40
1,21,47,0,188,57,75,32
1,22,0,0,36,47,93,36
1,23,104,0,144,55,117,28
1,24,159,0,148,55,149,40
1,25,79,162,98,135,55,36
1,26,0,93,164,95,57,36
1,27,0,162,112,75,57,32
1,28,104,0,172,55,117,28
1,29,159,0,188,55,149,40
1,30,0,93,200,75,57,36
1,31,0,0,72,47,93,36
1,32,0,162,144,75,57,32
1,33,0,162,176,75,57,40
1,34,91,150,134,91,69,46
1,35,104,0,200,55,117,28
2,1,0,0,0,73,111,26
