bin_name,box_name,position_x,position_y,position_z,width,height,depth,layer,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,95,57,36,0,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,28.5,36,#22,0.0
1,4,95,0,0,75,57,36,0,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",132.5,28.5,36,#18A,0.0
1,13,170,0,0,47,93,36,0,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",193.5,46.5,36,#33,1.0
1,2,0,57,0,135,55,36,0,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,84.5,36,#29,0.0
1,5,0,112,0,209,97,36,0,"(1.0, 0.0, 0.0, 1.0)",104.5,160.5,36,#35,0.0
1,3,0,0,36,75,57,36,1,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,72,#18A,0.0
1,12,95,0,36,75,57,40,1,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",132.5,28.5,76,#7A,0.0
1,29,170,0,36,47,93,36,1,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",193.5,46.5,72,#33,1.0
1,8,0,57,36,149,55,40,1,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",74.5,84.5,76,#26,0.0
1,6,0,112,36,209,97,36,1,"(1.0, 0.0, 0.0, 1.0)",104.5,160.5,72,#35,0.0
1,10,0,0,72,75,57,40,2,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,112,#7A,0.0
1,31,170,0,72,47,93,36,2,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",193.5,46.5,108,#33,1.0
1,7,0,112,72,91,69,46,2,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,146.5,118,#9,0.0
1,15,91,112,72,111,73,26,2,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",146.5,148.5,98,#20,0.0
1,27,95,0,76,75,57,32,2,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",132.5,28.5,108,#16A,0.0
1,9,0,57,76,135,55,36,2,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,84.5,112,#29,0.0
1,16,91,112,98,111,73,26,3,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",146.5,148.5,124,#20,0.0
1,28,95,0,108,75,57,36,3,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",132.5,28.5,144,#18A,0.0
1,17,0,0,112,75,57,40,3,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,152,#7A,0.0
1,11,0,57,112,149,55,40,3,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",74.5,84.5,152,#26,0.0
1,14,0,112,118,91,69,46,3,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,146.5,164,#9,0.0
1,22,95,112,124,111,73,26,4,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",150.5,148.5,150,#20,0.0
1,30,95,0,144,75,57,40,4,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",132.5,28.5,184,#7A,0.0
1,21,0,0,152,75,57,36,4,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,188,#18A,0.0
1,20,0,57,152,149,55,40,4,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",74.5,84.5,192,#26,0.0
1,18,0,112,164,95,57,36,4,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,140.5,200,#22,0.0
1,25,95,112,150,117,55,28,5,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",153.5,139.5,178,#13,0.0
1,32,95,0,184,75,57,32,5,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",132.5,28.5,216,#16A,0.0
1,24,0,0,188,75,57,32,5,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,28.5,220,#16A,0.0
1,23,0,57,192,135,55,36,5,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,84.5,228,#29,0.0
1,19,0,112,200,95,57,36,5,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,140.5,236,#22,0.0
1,26,95,112,178,117,55,28,6,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",153.5,139.5,206,#13,0.0
