bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation,layer
1,#9,46,45.5,34.5,46,0.0,0
1,#35,36,159.5,104.5,36,1.0,0
1,#20,26,55.5,105.5,26,0.0,0
1,#20,26,55.5,178.5,26,0.0,0
1,#20,26,55.5,105.5,52,0.0,1
1,#20,26,55.5,178.5,52,0.0,1
1,#13,28,149.5,27.5,64,0.0,1
1,#26,40,138.5,129.5,76,1.0,1
1,#33,36,189.5,101.5,72,1.0,1
1,#18A,36,37.5,28.5,82,0.0,1
1,#9,46,45.5,103.5,98,0.0,2
1,#22,36,47.5,170.5,88,0.0,2
1,#13,28,149.5,27.5,92,0.0,2
1,#29,36,138.5,122.5,112,1.0,2
1,#18A,36,37.5,28.5,118,0.0,2
1,#22,36,47.5,170.5,124,0.0,3
1,#33,36,137.5,23.5,128,0.0,3
1,#16A,32,37.5,97.5,130,0.0,3
1,#26,40,138.5,129.5,152,1.0,3
1,#18A,36,37.5,28.5,154,0.0,3
1,#22,36,47.5,170.5,160,0.0,4
1,#33,36,137.5,23.5,164,0.0,4
1,#7A,40,37.5,97.5,170,0.0,4
1,#29,36,138.5,122.5,188,1.0,4
1,#16A,32,37.5,28.5,186,0.0,4
1,#7A,40,37.5,170.5,200,0.0,5
1,#16A,32,37.5,97.5,202,0.0,5
1,#7A,40,37.5,28.5,226,0.0,5
1,#13,28,138.5,113.5,216,1.0,5
1,#18A,36,37.5,97.5,238,0.0,6
