bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,57,95,36
1,2,57,0,0,97,209,36
1,3,57,0,36,97,209,36
1,4,0,0,36,57,75,32
1,5,0,95,0,57,95,36
1,6,0,95,36,47,93,36
1,7,0,0,68,57,75,36
1,8,154,0,0,55,135,36
1,9,0,0,104,57,75,32
1,10,57,0,72,91,69,46
1,11,0,0,136,57,75,32
1,12,154,0,36,55,149,40
1,13,0,95,72,57,95,36
1,14,57,69,72,73,111,26
1,15,0,0,168,57,75,36
1,16,57,69,98,73,111,26
1,17,154,0,76,55,117,28
1,18,57,0,118,91,69,46
1,19,154,0,104,55,117,28
1,20,0,95,108,57,75,40
1,21,57,0,164,95,57,36
1,22,57,0,200,93,47,36
