bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
1,#35外箱,36,48.5,104.5,36,1.0
1,#35外箱,36,145.5,104.5,36,1.0
1,#22外箱,36,47.5,28.5,72,0.0
1,#29外箱,36,138.5,67.5,72,1.0
1,#20外箱,26,55.5,93.5,62,0.0
1,#20外箱,26,55.5,166.5,62,0.0
1,#22外箱,36,164.5,177.5,72,0.0
1,#20外箱,26,55.5,93.5,88,0.0
1,#13外箱,28,58.5,162.5,90,0.0
1,#33外箱,36,46.5,23.5,108,0.0
1,#26外箱,40,144.5,74.5,112,1.0
1,#9外箱,46,162.5,183.5,118,0.0
1,#9外箱,46,45.5,91.5,134,0.0
1,#13外箱,28,58.5,162.5,118,0.0
1,#33外箱,36,46.5,23.5,144,0.0
1,#26外箱,40,144.5,74.5,152,1.0
1,#13外箱,28,58.5,162.5,146,0.0
1,#9外箱,46,162.5,183.5,164,0.0
1,#18A外箱,36,37.5,85.5,170,0.0
1,#16A外箱,32,37.5,28.5,176,0.0
1,#13外箱,28,58.5,162.5,174,0.0
1,#7A外箱,40,138.5,28.5,192,0.0
1,#16A外箱,32,139.5,94.5,184,1.0
1,#22外箱,36,164.5,177.5,200,0.0
1,#16A外箱,32,37.5,85.5,202,0.0
1,#20外箱,26,55.5,166.5,200,0.0
1,#18A外箱,36,37.5,28.5,212,0.0
1,#7A外箱,40,139.5,94.5,224,1.0
1,#7A外箱,40,138.5,28.5,232,0.0
1,#13外箱,28,58.5,162.5,228,0.0
1,#7A外箱,40,154.5,177.5,240,0.0
1,#16A外箱,32,37.5,85.5,234,0.0
