bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,37.5,36,#18A外箱,1.0
1,2,57,0,0,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",80.5,46.5,36,#33外箱,1.0
1,5,104,0,0,97,209,36,"(1.0, 0.0, 0.0, 1.0)",152.5,104.5,36,#35外箱,1.0
1,4,0,93,0,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",36.5,148.5,26,#20外箱,1.0
1,6,0,93,26,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",36.5,148.5,52,#20外箱,1.0
1,3,0,0,36,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,37.5,72,#18A外箱,1.0
1,12,57,0,36,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",80.5,46.5,72,#33外箱,1.0
1,7,104,0,36,97,209,36,"(1.0, 0.0, 0.0, 1.0)",152.5,104.5,72,#35外箱,1.0
1,8,0,77,52,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",27.5,144.5,88,#29外箱,1.0
1,9,0,0,72,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,104,#16A外箱,1.0
1,13,104,0,72,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",151.5,28.5,108,#22外箱,0.0
1,14,104,57,72,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",131.5,131.5,112,#26外箱,1.0
1,20,159,57,72,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",186.5,124.5,108,#29外箱,1.0
1,10,0,77,88,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",27.5,144.5,124,#29外箱,1.0
1,11,0,0,104,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",28.5,37.5,144,#7A外箱,1.0
1,15,104,0,108,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",151.5,28.5,144,#22外箱,0.0
1,22,159,57,108,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",186.5,115.5,136,#13外箱,1.0
1,21,88,93,112,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",115.5,151.5,140,#13外箱,1.0
1,16,0,77,124,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",27.5,144.5,160,#29外箱,1.0
1,26,159,57,136,57,95,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",187.5,104.5,172,#22外箱,1.0
1,23,88,93,140,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",115.5,151.5,168,#13外箱,1.0
1,19,0,0,144,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,176,#16A外箱,1.0
1,24,104,0,144,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",151.5,28.5,180,#22外箱,0.0
1,17,0,77,160,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",27.5,135.5,188,#13外箱,1.0
1,27,0,0,176,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,37.5,212,#18A外箱,1.0
1,25,104,0,180,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",151.5,28.5,216,#22外箱,0.0
1,18,0,93,188,69,91,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",34.5,138.5,234,#9外箱,1.0
