bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation,layer
1,#20,26,55.5,36.5,26,0.0,0
1,#9,46,162.5,34.5,46,0.0,0
1,#35,36,104.5,121.5,36,0.0,0
1,#13,28,58.5,27.5,54,0.0,1
1,#20,26,171.5,124.5,62,1.0,1
1,#29,36,67.5,100.5,72,0.0,1
1,#29,36,67.5,155.5,72,0.0,1
1,#22,36,164.5,28.5,82,0.0,1
1,#16A,32,37.5,28.5,86,0.0,2
1,#13,28,176.5,127.5,90,1.0,2
1,#26,40,74.5,100.5,112,0.0,2
1,#26,40,74.5,155.5,112,0.0,2
1,#33,36,163.5,23.5,118,0.0,2
1,#18A,36,37.5,28.5,122,0.0,3
1,#9,46,183.5,114.5,136,1.0,3
1,#13,28,58.5,100.5,140,0.0,3
1,#22,36,47.5,158.5,148,0.0,3
1,#33,36,163.5,23.5,154,0.0,3
1,#7A,40,37.5,28.5,162,0.0,4
1,#16A,32,37.5,101.5,172,0.0,4
1,#33,36,46.5,153.5,184,0.0,4
1,#22,36,164.5,28.5,190,0.0,4
1,#7A,40,37.5,28.5,202,0.0,5
1,#16A,32,37.5,101.5,204,0.0,5
1,#33,36,163.5,23.5,226,0.0,5
1,#18A,36,37.5,28.5,238,0.0,6
