bin_name,box_name,position_x,position_y,position_z,width,height,depth,layer,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,75,57,32,0,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,28.5,32,#16A外箱,0.0
1,4,135,0,0,73,111,26,0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",171.5,55.5,26,#20外箱,1.0
1,2,0,57,0,135,55,36,0,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,84.5,36,#29外箱,0.0
1,3,0,112,0,209,97,36,0,"(1.0, 0.0, 0.0, 1.0)",104.5,160.5,36,#35外箱,0.0
1,8,135,0,26,73,111,26,1,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",171.5,55.5,52,#20外箱,1.0
1,5,0,0,32,75,57,36,1,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,68,#18A外箱,0.0
1,7,0,57,36,135,55,36,1,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,84.5,72,#29外箱,0.0
1,6,0,112,36,209,97,36,1,"(1.0, 0.0, 0.0, 1.0)",104.5,160.5,72,#35外箱,0.0
1,9,119,0,52,95,57,36,2,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",166.5,28.5,88,#22外箱,0.0
1,14,0,0,68,75,57,40,2,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,108,#7A外箱,0.0
1,10,0,57,72,117,55,28,2,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",58.5,84.5,100,#13外箱,0.0
1,25,149,86,72,69,91,46,2,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",183.5,131.5,118,#9外箱,1.0
1,11,0,112,72,135,55,36,2,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,139.5,108,#29外箱,0.0
1,20,0,167,72,93,47,36,2,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",46.5,190.5,108,#33外箱,0.0
1,12,119,0,88,95,57,36,3,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",166.5,28.5,124,#22外箱,0.0
1,15,0,57,100,117,55,28,3,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",58.5,84.5,128,#13外箱,0.0
1,16,0,0,108,75,57,32,3,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,28.5,140,#16A外箱,0.0
1,13,0,112,108,135,55,36,3,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,139.5,144,#29外箱,0.0
1,27,149,86,118,69,91,46,3,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",183.5,131.5,164,#9外箱,1.0
1,17,119,0,124,95,57,36,4,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",166.5,28.5,160,#22外箱,0.0
1,18,0,57,128,117,55,28,4,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",58.5,84.5,156,#13外箱,0.0
1,19,0,0,140,75,57,36,4,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,176,#18A外箱,0.0
1,21,0,112,144,149,55,40,4,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",74.5,139.5,184,#26外箱,0.0
1,22,0,57,156,117,55,28,5,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",58.5,84.5,184,#13外箱,0.0
1,23,119,0,160,93,47,36,5,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",165.5,23.5,196,#33外箱,0.0
1,26,0,0,176,75,57,36,5,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,212,#18A外箱,0.0
1,24,0,112,184,149,55,40,5,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",74.5,139.5,224,#26外箱,0.0
1,28,119,0,196,95,57,36,6,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",166.5,28.5,232,#22外箱,0.0
