bin_name,matched_box_name,pos_x,pos_y,pos_z
1,#16A外箱,35.0,26.0,32
1,#20外箱,53.0,34.0,26
1,#29外箱,65.0,25.0,36
1,#35外箱,102.0,46.0,36
1,#20外箱,53.0,34.0,26
1,#18A外箱,35.0,26.0,36
1,#29外箱,65.0,25.0,36
1,#35外箱,102.0,46.0,36
1,#22外箱,45.0,26.0,36
1,#7A外箱,35.0,26.0,40
1,#13外箱,56.0,25.0,28
1,#9外箱,43.0,32.0,46
1,#29外箱,65.0,25.0,36
1,#33外箱,44.0,21.0,36
1,#22外箱,45.0,26.0,36
1,#13外箱,56.0,25.0,28
1,#16A外箱,35.0,26.0,32
1,#29外箱,65.0,25.0,36
1,#9外箱,43.0,32.0,46
1,#22外箱,45.0,26.0,36
1,#13外箱,56.0,25.0,28
1,#18A外箱,35.0,26.0,36
1,#26外箱,72.0,25.0,40
1,#13外箱,56.0,25.0,28
1,#33外箱,44.0,21.0,36
1,#18A外箱,35.0,26.0,36
1,#26外箱,72.0,25.0,40
1,#22外箱,45.0,26.0,36
