bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#7A,35.0,26.0,40.0,37.5,28.5,40.0,0.0,2.5,2.5,0,70,52,40.0
1,#29,65.0,25.0,36.0,142.5,27.5,36.0,0.0,77.5,2.5,0,130,50,36.0
1,#22,45.0,26.0,36.0,164.5,83.5,36.0,0.0,119.5,57.5,0,90,52,36.0
1,#13,56.0,25.0,28.0,58.5,84.5,28.0,0.0,2.5,59.5,0,112,50,28.0
1,#35,102.0,46.0,36.0,104.5,160.5,36.0,0.0,2.5,114.5,0,204,92,36.0
2,#9,43.0,32.0,46.0,34.5,45.5,46.0,1.0,2.5,2.5,0,64,86,46.0
2,#20,53.0,34.0,26.0,105.5,55.5,26.0,1.0,71.5,2.5,0,68,106,26.0
2,#18A,35.0,26.0,36.0,170.5,37.5,36.0,1.0,144.5,2.5,0,52,70,36.0
2,#16A,35.0,26.0,32.0,28.5,128.5,32.0,1.0,2.5,93.5,0,52,70,32.0
2,#26,72.0,25.0,40.0,131.5,138.5,40.0,0.0,59.5,113.5,0,144,50,40.0
2,#33,44.0,21.0,36.0,46.5,189.5,36.0,0.0,2.5,168.5,0,88,42,36.0
