bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
1,#33外箱,44.0,21.0,36,23.5,46.5,36,1.0,0,2.5,2.5,0,42,88,36
1,#7A外箱,35.0,26.0,40,75.5,37.5,40,1.0,0,49.5,2.5,0,52,70,40
1,#35外箱,102.0,46.0,36,152.5,104.5,36,1.0,0,106.5,2.5,0,92,204,36
1,#20外箱,53.0,34.0,26,36.5,148.5,26,1.0,0,2.5,95.5,0,68,106,26
1,#20外箱,53.0,34.0,26,36.5,148.5,52,1.0,1,2.5,95.5,26,68,106,26
1,#33外箱,44.0,21.0,36,23.5,46.5,72,1.0,1,2.5,2.5,36,42,88,36
1,#35外箱,102.0,46.0,36,152.5,104.5,72,1.0,1,106.5,2.5,36,92,204,36
1,#18A外箱,35.0,26.0,36,75.5,37.5,76,1.0,1,49.5,2.5,40,52,70,36
1,#9外箱,43.0,32.0,46,34.5,138.5,98,1.0,2,2.5,95.5,52,64,86,46
1,#29外箱,65.0,25.0,36,131.5,67.5,108,1.0,2,106.5,2.5,72,50,130,36
1,#26外箱,72.0,25.0,40,186.5,74.5,112,1.0,2,161.5,2.5,72,50,144,40
1,#13外箱,56.0,25.0,28,135.5,176.5,100,0.0,2,79.5,151.5,72,112,50,28
1,#18A外箱,35.0,26.0,36,75.5,37.5,112,1.0,2,49.5,2.5,76,52,70,36
1,#22外箱,45.0,26.0,36,28.5,140.5,134,1.0,3,2.5,95.5,98,52,90,36
1,#13外箱,56.0,25.0,28,131.5,58.5,136,1.0,3,106.5,2.5,108,50,112,28
1,#7A外箱,35.0,26.0,40,75.5,37.5,152,1.0,3,49.5,2.5,112,52,70,40
1,#26外箱,72.0,25.0,40,186.5,74.5,152,1.0,3,161.5,2.5,112,50,144,40
1,#9外箱,43.0,32.0,46,34.5,138.5,180,1.0,4,2.5,95.5,134,64,86,46
1,#18A外箱,35.0,26.0,36,75.5,37.5,188,1.0,4,49.5,2.5,152,52,70,36
1,#7A外箱,35.0,26.0,40,75.5,37.5,228,1.0,5,49.5,2.5,188,52,70,40
