bin_name,matched_box_name,pos_x,pos_y,pos_z
1,#26,72.0,25.0,40
1,#22,45.0,26.0,36
1,#7,35.0,26.0,40
1,#33,44.0,21.0,36
1,#26,72.0,25.0,40
1,#7,35.0,26.0,40
1,#26,72.0,25.0,40
1,#22,45.0,26.0,36
1,#18,35.0,26.0,36
1,#7,35.0,26.0,40
1,#7,35.0,26.0,40
1,#29,65.0,25.0,36
1,#7,35.0,26.0,40
1,#26,72.0,25.0,40
1,#22,45.0,26.0,36
1,#7,35.0,26.0,40
1,#26,72.0,25.0,40
1,#7,35.0,26.0,40
1,#16,35.0,26.0,32
1,#7,35.0,26.0,40
1,#26,72.0,25.0,40
1,#9,43.0,32.0,46
1,#18,35.0,26.0,36
1,#18,35.0,26.0,36
1,#26,72.0,25.0,40
1,#7,35.0,26.0,40
1,#7,35.0,26.0,40
1,#26,72.0,25.0,40
1,#16,35.0,26.0,32
1,#7,35.0,26.0,40
1,#9,43.0,32.0,46
1,#26,72.0,25.0,40
1,#18,35.0,26.0,36
1,#7,35.0,26.0,40
1,#26,72.0,25.0,40
1,#7,35.0,26.0,40
1,#7,35.0,26.0,40
1,#18,35.0,26.0,36
1,#26,72.0,25.0,40
1,#22,45.0,26.0,36
1,#18,35.0,26.0,36
1,#26,72.0,25.0,40
2,#35,102.0,46.0,36
2,#9,43.0,32.0,46
2,#20,53.0,34.0,26
2,#35,102.0,46.0,36
2,#13,56.0,25.0,28
2,#26,72.0,25.0,40
2,#9,43.0,32.0,46
2,#33,44.0,21.0,36
