bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
Bin 1,#18A外箱,36.0,38.0,29.0,36.0,0.0
Bin 1,#35外箱,36.0,105.0,161.0,36.0,0.0
Bin 1,#26外箱,40.0,75.0,85.0,40.0,0.0
Bin 1,#7A外箱,40.0,113.0,29.0,40.0,0.0
Bin 1,#9外箱,46.0,185.0,46.0,46.0,1.0
Bin 1,#16A外箱,32.0,38.0,29.0,68.0,0.0
Bin 1,#35外箱,36.0,105.0,161.0,72.0,0.0
Bin 1,#29外箱,36.0,68.0,85.0,76.0,0.0
Bin 1,#7A外箱,40.0,113.0,29.0,80.0,0.0
Bin 1,#22外箱,36.0,179.0,48.0,82.0,1.0
Bin 1,#16A外箱,32.0,38.0,29.0,100.0,0.0
Bin 1,#13外箱,28.0,177.0,154.0,100.0,1.0
Bin 1,#16A外箱,32.0,113.0,29.0,112.0,0.0
Bin 1,#26外箱,40.0,75.0,140.0,112.0,0.0
Bin 1,#26外箱,40.0,75.0,85.0,116.0,0.0
Bin 1,#9外箱,46.0,185.0,46.0,128.0,1.0
Bin 1,#13外箱,28.0,177.0,154.0,128.0,1.0
Bin 1,#7A外箱,40.0,38.0,29.0,140.0,0.0
Bin 1,#29外箱,36.0,68.0,140.0,148.0,0.0
Bin 1,#29外箱,36.0,68.0,85.0,152.0,0.0
Bin 1,#7A外箱,40.0,113.0,29.0,152.0,0.0
Bin 1,#13外箱,28.0,177.0,154.0,156.0,1.0
Bin 1,#33外箱,36.0,174.0,47.0,164.0,1.0
Bin 1,#16A外箱,32.0,38.0,29.0,172.0,0.0
Bin 1,#26外箱,40.0,75.0,140.0,188.0,0.0
Bin 1,#26外箱,40.0,75.0,85.0,192.0,0.0
Bin 1,#7A外箱,40.0,113.0,29.0,192.0,0.0
Bin 1,#22外箱,36.0,178.0,143.0,192.0,1.0
Bin 1,#18A外箱,36.0,179.0,38.0,200.0,1.0
Bin 1,#18A外箱,36.0,38.0,29.0,208.0,0.0
Bin 1,#20外箱,26.0,56.0,149.0,214.0,0.0
Bin 1,#29外箱,36.0,68.0,85.0,228.0,0.0
Bin 1,#18A外箱,36.0,113.0,29.0,228.0,0.0
Bin 1,#33外箱,36.0,173.0,142.0,228.0,1.0
Bin 1,#20外箱,26.0,56.0,149.0,240.0,0.0
